Date,Open,High,Low,Close,Adj Close,Volume
21/09/15,544.330017,549.780029,539.590027,548.390015,548.390015,3283300
22/09/15,539.710022,543.549988,532.659973,538.400024,538.400024,3841700
23/09/15,538.299988,541.210022,534,536.070007,536.070007,2237600
24/09/15,530.549988,534.559998,522.869995,533.75,533.75,3501000
25/09/15,542.570007,542.799988,521.400024,524.25,524.25,4031000
28/09/15,520.02002,520.280029,494.329987,504.059998,504.059998,5434500
29/09/15,506,511.480011,490.5,496.070007,496.070007,4457500
30/09/15,505.440002,512.799988,501.670013,511.890015,511.890015,4004700
01/10/15,511,520.799988,506,520.719971,520.719971,3768500
02/10/15,512.98999,532.599976,508.100006,532.539978,532.539978,4597800
05/10/15,536.98999,545.909973,536,543.679993,543.679993,3391400
06/10/15,545.5,551.5,533.330017,537.47998,537.47998,4502800
07/10/15,541.789978,542,529,541.940002,541.940002,3812100
08/10/15,536.710022,539.390015,519.890015,533.159973,533.159973,4676400
09/10/15,534.47998,541.789978,530.27002,539.799988,539.799988,3537400
12/10/15,539.960022,550.820007,539.799988,550.190002,550.190002,2776100
13/10/15,546.26001,553.200012,543.099976,548.900024,548.900024,2938000
14/10/15,551.340027,552.25,539.679993,544.830017,544.830017,3582100
15/10/15,547.75,563,547,562.440002,562.440002,4937000
16/10/15,565.27002,570.940002,560.309998,570.76001,570.76001,4315800
19/10/15,570.76001,579,567.380005,573.150024,573.150024,4375400
20/10/15,572,573,555.280029,560.880005,560.880005,4346200
21/10/15,563.869995,565.25,552.52002,555.77002,555.77002,3343600
22/10/15,562.700012,569.150024,556.669983,563.909973,563.909973,7779400
23/10/15,617.679993,619.450012,595.359985,599.030029,599.030029,10692700
26/10/15,602.299988,609.849976,596.289978,608.609985,608.609985,4269700
27/10/15,608.599976,614.710022,605.530029,611.01001,611.01001,3787100
28/10/15,612.299988,617.22998,609.5,617.099976,617.099976,3926200
29/10/15,617.700012,627.539978,615.390015,626.549988,626.549988,3896000
30/10/15,626.01001,630.719971,625.280029,625.900024,625.900024,3874400
02/11/15,627.130005,628.630005,620.409973,628.349976,628.349976,2816500
03/11/15,629.530029,629.890015,622,625.309998,625.309998,3246900
04/11/15,627.76001,645.929993,627.349976,640.950012,640.950012,4840500
05/11/15,647.099976,657,643.090027,655.650024,655.650024,4723800
06/11/15,655,662.26001,652,659.369995,659.369995,4092200
09/11/15,658.650024,661.960022,647.849976,655.48999,655.48999,4048800
10/11/15,651.01001,660,647.26001,659.679993,659.679993,3489500
11/11/15,663.25,675.960022,663.25,673.25,673.25,5387300
12/11/15,673,675.640015,664.219971,665.599976,665.599976,4284700
13/11/15,663.570007,667,640.450012,642.349976,642.349976,6261100
16/11/15,640.919983,649.98999,622.289978,647.809998,647.809998,7435900
17/11/15,650.650024,653.25,641,643.299988,643.299988,4320200
18/11/15,646.51001,664.880005,646.369995,663.539978,663.539978,4469800
19/11/15,664.98999,672.859985,659,661.27002,661.27002,4705200
20/11/15,667.940002,668.869995,657.570007,668.450012,668.450012,3896100
23/11/15,671.5,682.77002,670.119995,678.98999,678.98999,4385100
24/11/15,674.140015,675.799988,661.210022,671.150024,671.150024,4543400
25/11/15,675,679.700012,671.23999,675.340027,675.340027,2697900
27/11/15,680.799988,680.98999,672.099976,673.26001,673.26001,1966800
30/11/15,675.900024,681.289978,664.599976,664.799988,664.799988,5693200
01/12/15,673.75,681,667.859985,679.059998,679.059998,4751200
02/12/15,681,684.820007,674.25,676.01001,676.01001,4273500
03/12/15,679.440002,682.789978,661.47998,666.25,666.25,5064700
04/12/15,666,674.780029,661.400024,672.640015,672.640015,4534800
07/12/15,674.73999,675.460022,660.5,669.830017,669.830017,3732800
08/12/15,663.130005,679.98999,659.789978,677.330017,677.330017,3651900
09/12/15,678,679,655.679993,664.789978,664.789978,5158200
10/12/15,665.590027,668.530029,659.559998,662.320007,662.320007,3455500
11/12/15,651.22998,657.880005,639.619995,640.150024,640.150024,5474400
14/12/15,641.75,658.590027,635.27002,657.909973,657.909973,4329700
15/12/15,665.030029,671.5,657.349976,658.640015,658.640015,4753400
16/12/15,663.559998,677.349976,659.320007,675.77002,675.77002,3964500
17/12/15,680,682.5,670.650024,670.650024,670.650024,3681600
18/12/15,668.650024,676.840027,664.130005,664.140015,664.140015,6841300
21/12/15,668.5,669.900024,658.929993,664.51001,664.51001,3250900
22/12/15,666.830017,668.48999,659.26001,663.150024,663.150024,2667800
23/12/15,666.5,666.599976,656.630005,663.700012,663.700012,2722900
24/12/15,663.349976,664.679993,660.599976,662.789978,662.789978,1091200
28/12/15,665.559998,675.5,665.5,675.200012,675.200012,3783600
29/12/15,677.97998,696.440002,677.890015,693.969971,693.969971,5735000
30/12/15,691.890015,695.48999,686.380005,689.070007,689.070007,3519000
31/12/15,686.080017,687.75,675.890015,675.890015,675.890015,3749600
04/01/16,656.289978,657.719971,627.51001,636.98999,636.98999,9314500
05/01/16,646.859985,646.909973,627.650024,633.789978,633.789978,5822600
06/01/16,622,639.789978,620.309998,632.650024,632.650024,5329200
07/01/16,621.799988,630,605.210022,607.940002,607.940002,7074900
08/01/16,619.659973,624.140015,606,607.049988,607.049988,5512900
11/01/16,612.47998,619.849976,598.570007,617.73999,617.73999,4891600
12/01/16,625.25,625.98999,612.23999,617.890015,617.890015,4724100
13/01/16,620.880005,620.880005,579.159973,581.809998,581.809998,7655200
